[2026-04-30 09:17:26] INFO    ask_my_brain | ChromaDB collection已加载: ask_my_brain
[2026-04-30 09:22:49] INFO    ask_my_brain | 文档加载完成: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 11189 字符
[2026-04-30 09:22:51] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第13节｜上线后的数据与运营.pdf, 9546 字符
[2026-04-30 09:22:51] INFO    ask_my_brain | 文档加载完成: 第13节｜上线后的数据与运营.pdf, 9546 字符
[2026-04-30 09:22:53] DEBUG   ask_my_brain | pdfplumber解析成功: D:\ask-my-brain\data\documents\第14节｜AI产品的迭代节奏.pdf, 12536 字符
[2026-04-30 09:22:53] INFO    ask_my_brain | 文档加载完成: 第14节｜AI产品的迭代节奏.pdf, 12536 字符
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 1什么是产品经理.pdf, 8 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 2判断一件事是否值得智能化.pdf, 12 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 3知识库.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 4指标体系与价值口径设计.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第6节课：项目骨架的构建.pdf, 6 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第7节｜提示词设计的产品思维.pdf, 20 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第8节｜原型图（AI产品经理版）.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第9节｜写出可落地的PRD.pdf, 13 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第10节｜如何回答质疑(1).pdf, 13 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第13节｜上线后的数据与运营.pdf, 16 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第14节｜AI产品的迭代节奏.pdf, 18 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 1什么是产品经理.pdf, 8 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 2判断一件事是否值得智能化.pdf, 12 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 3知识库.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 4指标体系与价值口径设计.pdf, 11 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第6节课：项目骨架的构建.pdf, 6 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第7节｜提示词设计的产品思维.pdf, 20 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第8节｜原型图（AI产品经理版）.pdf, 9 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第9节｜写出可落地的PRD.pdf, 13 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第10节｜如何回答质疑(1).pdf, 13 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf, 17 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第13节｜上线后的数据与运营.pdf, 16 chunk, 语言=chinese
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 分块完成: 第14节｜AI产品的迭代节奏.pdf, 18 chunk, 语言=chinese
[2026-04-30 09:22:59] INFO    ask_my_brain | 批量分块完成: 28 篇 -> 360 chunk
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 1什么是产品经理.pdf (4622 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 2判断一件事是否值得智能化.pdf (7655 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 3知识库.pdf (6524 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 4指标体系与价值口径设计.pdf (6972 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf (5813 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第6节课：项目骨架的构建.pdf (3906 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第7节｜提示词设计的产品思维.pdf (12406 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第8节｜原型图（AI产品经理版）.pdf (5410 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第9节｜写出可落地的PRD.pdf (8166 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第10节｜如何回答质疑(1).pdf (8812 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf (10331 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf (11189 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第13节｜上线后的数据与运营.pdf (9546 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第14节｜AI产品的迭代节奏.pdf (12536 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 1什么是产品经理.pdf (4622 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 2判断一件事是否值得智能化.pdf (7655 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 3知识库.pdf (6524 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 4指标体系与价值口径设计.pdf (6972 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf (5813 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第6节课：项目骨架的构建.pdf (3906 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第7节｜提示词设计的产品思维.pdf (12406 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第8节｜原型图（AI产品经理版）.pdf (5410 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第9节｜写出可落地的PRD.pdf (8166 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第10节｜如何回答质疑(1).pdf (8812 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第11节｜划清人机协作界线：明确谁预测，谁判断，谁背锅.pdf (10331 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第12节｜灰度发布的艺术：设计可回退、可复盘的上线节奏.pdf (11189 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第13节｜上线后的数据与运营.pdf (9546 字符)
[2026-04-30 09:22:59] DEBUG   ask_my_brain | 完整文档已缓存: 第14节｜AI产品的迭代节奏.pdf (12536 字符)
[2026-04-30 09:22:59] INFO    ask_my_brain | 正在加载Embedding模型: sentence-transformers/all-MiniLM-L6-v2
[2026-04-30 09:27:06] ERROR   ask_my_brain | Embedding模型加载失败: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.
Check your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'.
[2026-04-30 09:27:06] ERROR   ask_my_brain | 索引构建失败: Embedding模型加载失败: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.
Check your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'.
[2026-04-30 09:30:56] ERROR   ask_my_brain | Embedding模型加载失败: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.
Check your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'.
[2026-04-30 09:30:56] ERROR   ask_my_brain | 索引构建失败: Embedding模型加载失败: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.
Check your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'.
[2026-04-30 09:48:57] INFO    ask_my_brain | HuggingFace镜像: https://hf-mirror.com
[2026-04-30 09:49:00] INFO    ask_my_brain | ChromaDB collection已加载: ask_my_brain
[2026-04-30 09:49:40] INFO    ask_my_brain | 解析PDF: 1什么是产品经理.pdf (5.1MB)
[2026-04-30 09:49:41] INFO    ask_my_brain | PDF共 39 页
[2026-04-30 09:49:41] DEBUG   ask_my_brain |   已解析 10/39 页
[2026-04-30 09:49:42] DEBUG   ask_my_brain |   已解析 20/39 页
[2026-04-30 09:49:42] DEBUG   ask_my_brain |   已解析 30/39 页
[2026-04-30 09:49:43] INFO    ask_my_brain | pdfplumber成功: 1什么是产品经理.pdf, 4622 字符, 39 页
[2026-04-30 09:49:43] INFO    ask_my_brain | 文档加载: 1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:49:43] INFO    ask_my_brain | 解析PDF: 2判断一件事是否值得智能化.pdf (5.0MB)
[2026-04-30 09:49:43] INFO    ask_my_brain | PDF共 52 页
[2026-04-30 09:49:43] DEBUG   ask_my_brain |   已解析 10/52 页
[2026-04-30 09:49:44] DEBUG   ask_my_brain |   已解析 20/52 页
[2026-04-30 09:49:44] DEBUG   ask_my_brain |   已解析 30/52 页
[2026-04-30 09:49:45] DEBUG   ask_my_brain |   已解析 40/52 页
[2026-04-30 09:49:45] DEBUG   ask_my_brain |   已解析 50/52 页
[2026-04-30 09:49:45] INFO    ask_my_brain | pdfplumber成功: 2判断一件事是否值得智能化.pdf, 7655 字符, 52 页
[2026-04-30 09:49:45] INFO    ask_my_brain | 文档加载: 2判断一件事是否值得智能化.pdf, 7655 字符
[2026-04-30 09:49:45] INFO    ask_my_brain | 解析PDF: 3知识库.pdf (5.8MB)
[2026-04-30 09:49:45] INFO    ask_my_brain | PDF共 37 页
[2026-04-30 09:49:46] DEBUG   ask_my_brain |   已解析 10/37 页
[2026-04-30 09:49:46] DEBUG   ask_my_brain |   已解析 20/37 页
[2026-04-30 09:49:47] DEBUG   ask_my_brain |   已解析 30/37 页
[2026-04-30 09:49:47] INFO    ask_my_brain | pdfplumber成功: 3知识库.pdf, 6524 字符, 37 页
[2026-04-30 09:49:47] INFO    ask_my_brain | 文档加载: 3知识库.pdf, 6524 字符
[2026-04-30 09:49:47] INFO    ask_my_brain | 解析PDF: 4指标体系与价值口径设计.pdf (4.9MB)
[2026-04-30 09:49:47] INFO    ask_my_brain | PDF共 37 页
[2026-04-30 09:49:48] DEBUG   ask_my_brain |   已解析 10/37 页
[2026-04-30 09:49:48] DEBUG   ask_my_brain |   已解析 20/37 页
[2026-04-30 09:49:49] DEBUG   ask_my_brain |   已解析 30/37 页
[2026-04-30 09:49:49] INFO    ask_my_brain | pdfplumber成功: 4指标体系与价值口径设计.pdf, 6972 字符, 37 页
[2026-04-30 09:49:49] INFO    ask_my_brain | 文档加载: 4指标体系与价值口径设计.pdf, 6972 字符
[2026-04-30 09:49:49] INFO    ask_my_brain | 解析PDF: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf (3.3MB)
[2026-04-30 09:49:49] INFO    ask_my_brain | PDF共 37 页
[2026-04-30 09:49:50] DEBUG   ask_my_brain |   已解析 10/37 页
[2026-04-30 09:49:50] DEBUG   ask_my_brain |   已解析 20/37 页
[2026-04-30 09:49:50] DEBUG   ask_my_brain |   已解析 30/37 页
[2026-04-30 09:49:51] INFO    ask_my_brain | pdfplumber成功: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符, 37 页
[2026-04-30 09:49:51] INFO    ask_my_brain | 文档加载: 第5节课：流程图与泳道图——智能系统的交互逻辑设计.pdf, 5813 字符
[2026-04-30 09:49:51] INFO    ask_my_brain | 解析PDF: 第6节课：项目骨架的构建.pdf (3.9MB)
[2026-04-30 09:49:51] INFO    ask_my_brain | PDF共 33 页
[2026-04-30 09:49:51] DEBUG   ask_my_brain |   已解析 10/33 页
[2026-04-30 09:49:52] DEBUG   ask_my_brain |   已解析 20/33 页
[2026-04-30 09:49:53] DEBUG   ask_my_brain |   已解析 30/33 页
[2026-04-30 09:49:53] INFO    ask_my_brain | pdfplumber成功: 第6节课：项目骨架的构建.pdf, 3906 字符, 33 页
[2026-04-30 09:49:53] INFO    ask_my_brain | 文档加载: 第6节课：项目骨架的构建.pdf, 3906 字符
[2026-04-30 09:49:53] INFO    ask_my_brain | 解析PDF: 第7节｜提示词设计的产品思维.pdf (4.8MB)
[2026-04-30 09:49:53] INFO    ask_my_brain | PDF共 59 页
[2026-04-30 09:49:54] DEBUG   ask_my_brain |   已解析 10/59 页
[2026-04-30 09:49:54] DEBUG   ask_my_brain |   已解析 20/59 页
[2026-04-30 09:49:55] INFO    ask_my_brain | 解析PDF: 1什么是产品经理.pdf (5.1MB)
[2026-04-30 09:49:55] INFO    ask_my_brain | PDF共 39 页
[2026-04-30 09:49:55] DEBUG   ask_my_brain |   已解析 30/59 页
[2026-04-30 09:49:57] DEBUG   ask_my_brain |   已解析 40/59 页
[2026-04-30 09:49:57] DEBUG   ask_my_brain |   已解析 10/39 页
[2026-04-30 09:49:58] DEBUG   ask_my_brain |   已解析 20/39 页
[2026-04-30 09:49:58] DEBUG   ask_my_brain |   已解析 50/59 页
[2026-04-30 09:49:58] DEBUG   ask_my_brain |   已解析 30/39 页
[2026-04-30 09:49:59] INFO    ask_my_brain | pdfplumber成功: 第7节｜提示词设计的产品思维.pdf, 12406 字符, 59 页
[2026-04-30 09:49:59] INFO    ask_my_brain | 文档加载: 第7节｜提示词设计的产品思维.pdf, 12406 字符
[2026-04-30 09:50:00] INFO    ask_my_brain | pdfplumber成功: 1什么是产品经理.pdf, 4622 字符, 39 页
[2026-04-30 09:50:00] INFO    ask_my_brain | 文档加载: 1什么是产品经理.pdf, 4622 字符
[2026-04-30 09:50:00] INFO    ask_my_brain | 解析PDF: 2判断一件事是否值得智能化.pdf (5.0MB)
[2026-04-30 09:50:00] INFO    ask_my_brain | PDF共 52 页
[2026-04-30 09:50:00] DEBUG   ask_my_brain |   已解析 10/52 页
[2026-04-30 09:50:00] DEBUG   ask_my_brain |   已解析 20/52 页
[2026-04-30 09:50:01] DEBUG   ask_my_brain |   已解析 30/52 页
[2026-04-30 09:50:01] DEBUG   ask_my_brain |   已解析 40/52 页
[2026-04-30 09:50:02] DEBUG   ask_my_brain |   已解析 50/52 页
